fid,title,hint,common,autocomplete,required,weight,visible,"field name",type,width,maxlength,vtab,entity
1,Title,,1,0,1,1.1,1,biblio_title,text,60,255,none,biblio
2,"Author Name",,1,1,0,1.2,1,biblio_contributor_name,text,60,255,contributors,biblio_contributor
5,"Secondary Title",,0,0,0,6,0,biblio_title_secondary,text,60,255,publication,biblio
6,"Tertiary Title",,0,0,0,7,0,biblio_title_tertiary,text,60,255,alternate_titles,biblio
7,"Accession Number",,1,0,0,8,1,biblio_accession_number,text,24,128,identifiers,biblio
8,"ISBN Number",,1,0,0,9,1,biblio_isbn,text,24,128,identifiers,biblio
9,"Call Number",,1,0,0,10,1,biblio_call_number,text,24,128,identifiers,biblio
10,"Other Numbers",,1,0,0,11,1,biblio_other_number,text,10,128,identifiers,biblio
11,"Other Author Affiliations",,0,0,0,12,0,biblio_other_author_affiliations,text,60,255,other,biblio
12,Publisher,,0,0,0,13,0,biblio_publisher,text,60,255,publisher,biblio
13,"Place Published",,0,0,0,14,0,biblio_place_published,text,60,255,publisher,biblio
14,"Year of Publication","Enter YYYY, Submitted or In Press",1,0,1,2,1,biblio_year,text,4,20,none,biblio
15,Edition,,0,0,0,16,0,biblio_edition,text,60,255,publication,biblio
16,Volume,,0,0,0,17,0,biblio_volume,text,10,128,publication,biblio
17,Number,,0,0,0,18,0,biblio_number,text,10,128,publication,biblio
18,Pagination,,0,0,0,19,0,biblio_pages,text,24,128,publication,biblio
19,"Date Published",(mm/yyyy),0,0,0,20,0,biblio_date,text,16,16,publication,biblio
20,"Publication Language",,0,0,0,21,0,biblio_lang,text,24,24,publication,biblio
21,Abstract,,1,0,0,22,1,biblio_abst_e,text_long,60,65535,abstract,biblio
22,"French Abstract",,0,0,0,23,0,biblio_abst_f,text_long,60,65535,other,biblio
23,Keywords,,1,1,0,24,0,biblio_keywords,taxonomy_term_reference,60,1000,keywords,biblio
24,"Type of Work","Masters Thesis",0,0,0,25,0,biblio_type_of_work,text,60,255,publication,biblio
25,URL,,1,0,0,26,1,biblio_url,text,60,255,locators,biblio
26,Notes,,0,0,0,27,0,biblio_notes,text_long,60,65535,notes,biblio
27,Issue,,0,0,0,28,0,biblio_issue,text,10,128,publication,biblio
28,"Research Notes",,0,0,0,29,0,biblio_research_notes,text_long,60,65535,notes,biblio
29,"Number of Volumes",,0,0,0,30,0,biblio_number_of_volumes,text,10,128,publication,biblio
30,"Short Title",,0,0,0,31,0,biblio_short_title,text,60,255,alternate_titles,biblio
31,"Alternate Title",,0,0,0,32,0,biblio_alternate_title,text,60,255,alternate_titles,biblio
32,"Translated Title",,0,0,0,33,0,biblio_translated_title,text,60,255,alternate_titles,biblio
33,"Original Publication",,0,0,0,34,0,biblio_original_publication,text,60,255,alternate_titles,biblio
34,"Reprint Edition",,0,0,0,35,0,biblio_reprint_edition,text,120,255,publication,biblio
35,Section,,0,0,0,36,0,biblio_section,text,10,128,publication,biblio
36,"Citation Key",,0,0,0,37,0,biblio_citekey,text,16,255,identifiers,biblio
37,"COinS Data","This will be automatically generated",0,0,0,38,0,biblio_coins,text_long,60,65535,other,biblio
38,"ISSN Number",,0,0,0,39,0,biblio_issn,text,24,128,identifiers,biblio
39,DOI,,1,0,0,40,1,biblio_doi,text,60,255,locators,biblio
40,"Author Address",,0,0,0,41,0,biblio_auth_address,text_long,60,65535,other,biblio
41,"Remote Database Name",,0,0,0,42,0,biblio_remote_db_name,text,60,255,other,biblio
42,"Remote Database Provider",,0,0,0,43,0,biblio_remote_db_provider,text,60,255,other,biblio
43,Label,,0,0,0,44,0,biblio_label,text,60,255,other,biblio
44,"Access Date",,0,0,0,45,0,biblio_access_date,text,60,255,other,biblio
45,"Refereed Designation",,0,0,0,46,0,biblio_refereed,list_text,0,128,other,biblio
46,Biblio Reference,,0,0,0,1,0,biblio_biblio_ref,entityreference,0,128,none,biblio_contribution
47,Contributor Reference,,0,0,0,1,0,biblio_contributor_ref,entityreference,0,128,none,biblio_contribution
48,Contributor Category,,,,0,2,,biblio_contributor_category,list_text,60,255,none,biblio_contribution
49,Full Text,,,,0,2,,biblio_full_text,text_with_summary,,,full_text,biblio
50,First Name,,,,0,2,,biblio_contributor_first_name,text,,,none,biblio_contributor
51,Last Name,,,,0,2,,biblio_contributor_last_name,text,,,none,biblio_contributor
52,Prefix,,,,0,2,,biblio_contributor_prefix,text,,,none,biblio_contributor
53,Suffix,,,,0,2,,biblio_contributor_suffix,text,,,none,biblio_contributor
54,Initials,,,,0,2,,biblio_contributor_initials,text,,,none,biblio_contributor
55,Drupal UID,,,,0,2,,biblio_contributor_drupal_uid,entityreference,,,none,biblio_contributor
